"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2024.07.01	00:05:00	1.07418	1.07445	1.07380	1.07445	70	0	29"
"2024.07.01	00:10:00	1.07445	1.07448	1.07402	1.07416	44	0	29"
"2024.07.01	00:15:00	1.07415	1.07426	1.07390	1.07390	97	0	29"
"2024.07.01	00:20:00	1.07390	1.07419	1.07376	1.07418	32	0	29"
"2024.07.01	00:25:00	1.07416	1.07419	1.07360	1.07371	86	0	29"
"2024.07.01	00:30:00	1.07375	1.07391	1.07345	1.07387	114	0	39"
"2024.07.01	00:35:00	1.07387	1.07392	1.07374	1.07385	96	0	29"
"2024.07.01	00:40:00	1.07384	1.07389	1.07369	1.07372	98	0	31"
"2024.07.01	00:45:00	1.07372	1.07378	1.07354	1.07365	97	0	29"
"2024.07.01	00:50:00	1.07366	1.07387	1.07361	1.07387	66	0	29"
"2024.07.01	00:55:00	1.07387	1.07390	1.07361	1.07381	44	0	29"
"2024.07.01	01:00:00	1.07381	1.07414	1.07326	1.07364	348	0	2"
"2024.07.01	01:05:00	1.07361	1.07362	1.07337	1.07350	102	0	2"
"2024.07.01	01:10:00	1.07351	1.07352	1.07325	1.07352	99	0	2"
"2024.07.01	01:15:00	1.07354	1.07359	1.07330	1.07351	130	0	2"
"2024.07.01	01:20:00	1.07352	1.07357	1.07348	1.07353	92	0	2"
"2024.07.01	01:25:00	1.07354	1.07390	1.07350	1.07381	110	0	2"
"2024.07.01	01:30:00	1.07381	1.07384	1.07351	1.07354	143	0	2"
"2024.07.01	01:35:00	1.07355	1.07358	1.07350	1.07353	165	0	2"
"2024.07.01	01:40:00	1.07353	1.07359	1.07349	1.07354	147	0	2"
"2024.07.01	01:45:00	1.07354	1.07357	1.07349	1.07357	111	0	2"
"2024.07.01	01:50:00	1.07356	1.07363	1.07351	1.07355	119	0	2"
"2024.07.01	01:55:00	1.07356	1.07373	1.07350	1.07368	127	0	2"
"2024.07.01	02:00:00	1.07368	1.07377	1.07368	1.07373	163	0	2"
"2024.07.01	02:05:00	1.07374	1.07376	1.07370	1.07372	80	0	2"
"2024.07.01	02:10:00	1.07372	1.07391	1.07370	1.07390	114	0	2"
"2024.07.01	02:15:00	1.07391	1.07395	1.07384	1.07385	99	0	2"
"2024.07.01	02:20:00	1.07385	1.07389	1.07380	1.07381	76	0	2"
"2024.07.01	02:25:00	1.07382	1.07384	1.07364	1.07365	60	0	2"
"2024.07.01	02:30:00	1.07365	1.07371	1.07359	1.07366	79	0	2"
"2024.07.01	02:35:00	1.07366	1.07367	1.07365	1.07366	60	0	2"
"2024.07.01	02:40:00	1.07366	1.07369	1.07365	1.07367	58	0	2"
"2024.07.01	02:45:00	1.07368	1.07372	1.07362	1.07365	60	0	2"
"2024.07.01	02:50:00	1.07364	1.07365	1.07358	1.07363	78	0	2"
"2024.07.01	02:55:00	1.07365	1.07365	1.07340	1.07350	99	0	2"
"2024.07.01	03:00:00	1.07350	1.07385	1.07348	1.07378	259	0	2"
"2024.07.01	03:05:00	1.07380	1.07382	1.07350	1.07355	92	0	2"
"2024.07.01	03:10:00	1.07355	1.07366	1.07351	1.07356	150	0	2"
"2024.07.01	03:15:00	1.07356	1.07419	1.07356	1.07411	279	0	2"
"2024.07.01	03:20:00	1.07413	1.07463	1.07408	1.07454	315	0	2"
"2024.07.01	03:25:00	1.07454	1.07468	1.07427	1.07427	178	0	2"
"2024.07.01	03:30:00	1.07425	1.07450	1.07423	1.07446	199	0	2"
"2024.07.01	03:35:00	1.07447	1.07492	1.07441	1.07486	225	0	2"
"2024.07.01	03:40:00	1.07486	1.07496	1.07478	1.07494	243	0	2"
"2024.07.01	03:45:00	1.07494	1.07494	1.07456	1.07459	233	0	2"
"2024.07.01	03:50:00	1.07459	1.07466	1.07443	1.07444	258	0	2"
"2024.07.01	03:55:00	1.07447	1.07458	1.07421	1.07457	252	0	2"
"2024.07.01	04:00:00	1.07456	1.07456	1.07428	1.07441	343	0	2"
"2024.07.01	04:05:00	1.07440	1.07482	1.07436	1.07476	393	0	2"
